Episode no = 10; won: False; Q(s,a) = nan; reward = -450.0; and epsilon = 0.9986666666666667, win percentage = 0.0, 2022-04-26 07:19:02
Episode no = 20; won: False; Q(s,a) = nan; reward = -477.0; and epsilon = 0.9973333333333333, win percentage = 0.0, 2022-04-26 07:19:06
Episode no = 30; won: False; Q(s,a) = nan; reward = -488.0; and epsilon = 0.996, win percentage = 0.0, 2022-04-26 07:19:09
Episode no = 40; won: False; Q(s,a) = -0.6399617725823343; reward = -422.0; and epsilon = 0.9946666666666667, win percentage = 0.0, 2022-04-26 07:19:14
Episode no = 50; won: False; Q(s,a) = nan; reward = -459.0; and epsilon = 0.9933333333333333, win percentage = 0.0, 2022-04-26 07:19:17
Episode no = 60; won: False; Q(s,a) = 0.16201880873499697; reward = -380.0; and epsilon = 0.992, win percentage = 0.0, 2022-04-26 07:19:23
Episode no = 70; won: False; Q(s,a) = nan; reward = -476.0; and epsilon = 0.9906666666666667, win percentage = 0.0, 2022-04-26 07:19:26
Episode no = 80; won: False; Q(s,a) = nan; reward = -502.0; and epsilon = 0.9893333333333333, win percentage = 0.0, 2022-04-26 07:19:30
Episode no = 90; won: False; Q(s,a) = 0.24309447588357236; reward = -487.0; and epsilon = 0.988, win percentage = 0.0, 2022-04-26 07:19:33
Episode no = 100; won: False; Q(s,a) = nan; reward = -484.0; and epsilon = 0.9866666666666667, win percentage = 0.0, 2022-04-26 07:19:38
Episode no = 110; won: False; Q(s,a) = -0.15431580059379613; reward = -450.0; and epsilon = 0.9853333333333333, win percentage = 0.0, 2022-04-26 07:19:43
Episode no = 120; won: False; Q(s,a) = 3.4770445526836102; reward = -469.0; and epsilon = 0.984, win percentage = 0.0, 2022-04-26 07:19:48
Episode no = 130; won: False; Q(s,a) = -0.4082318588107169; reward = -460.0; and epsilon = 0.9826666666666667, win percentage = 0.0, 2022-04-26 07:19:51
Episode no = 140; won: False; Q(s,a) = nan; reward = -445.0; and epsilon = 0.9813333333333333, win percentage = 0.0, 2022-04-26 07:19:56
Episode no = 150; won: False; Q(s,a) = 5.08251561756466; reward = -454.0; and epsilon = 0.98, win percentage = 0.0, 2022-04-26 07:20:01
Episode no = 160; won: False; Q(s,a) = nan; reward = -405.0; and epsilon = 0.9786666666666667, win percentage = 0.0, 2022-04-26 07:20:04
Episode no = 170; won: False; Q(s,a) = 13.392041851690099; reward = -437.0; and epsilon = 0.9773333333333334, win percentage = 0.0, 2022-04-26 07:20:09
Episode no = 180; won: False; Q(s,a) = nan; reward = -470.0; and epsilon = 0.976, win percentage = 0.0, 2022-04-26 07:20:12
Episode no = 190; won: False; Q(s,a) = nan; reward = -442.0; and epsilon = 0.9746666666666667, win percentage = 0.0, 2022-04-26 07:20:14
Episode no = 200; won: False; Q(s,a) = -1.2730498851231478; reward = -511.0; and epsilon = 0.9733333333333334, win percentage = 0.0, 2022-04-26 07:20:18
Episode no = 210; won: False; Q(s,a) = nan; reward = -481.0; and epsilon = 0.972, win percentage = 0.0, 2022-04-26 07:20:21
Episode no = 220; won: False; Q(s,a) = 23.105421398818052; reward = -495.0; and epsilon = 0.9706666666666667, win percentage = 0.0, 2022-04-26 07:20:26
Episode no = 230; won: False; Q(s,a) = 17.55161819479556; reward = -452.0; and epsilon = 0.9693333333333334, win percentage = 0.0, 2022-04-26 07:20:31
Episode no = 240; won: False; Q(s,a) = 21.02305936446289; reward = -359.0; and epsilon = 0.968, win percentage = 0.0, 2022-04-26 07:20:36
Episode no = 250; won: False; Q(s,a) = 21.543177220688037; reward = -451.0; and epsilon = 0.9666666666666667, win percentage = 0.0, 2022-04-26 07:20:39
Episode no = 260; won: False; Q(s,a) = 20.981698243330904; reward = -470.0; and epsilon = 0.9653333333333334, win percentage = 0.0, 2022-04-26 07:20:45
Episode no = 270; won: False; Q(s,a) = 21.43473657873529; reward = -443.0; and epsilon = 0.964, win percentage = 0.0, 2022-04-26 07:20:48
Episode no = 280; won: False; Q(s,a) = nan; reward = -439.0; and epsilon = 0.9626666666666667, win percentage = 0.0, 2022-04-26 07:20:52
Episode no = 290; won: False; Q(s,a) = nan; reward = -482.0; and epsilon = 0.9613333333333334, win percentage = 0.0, 2022-04-26 07:20:56
Episode no = 300; won: False; Q(s,a) = 13.471200827389291; reward = -470.0; and epsilon = 0.96, win percentage = 0.0, 2022-04-26 07:21:00
Episode no = 310; won: False; Q(s,a) = 27.346377498511462; reward = -454.0; and epsilon = 0.9586666666666667, win percentage = 0.0, 2022-04-26 07:21:06
Episode no = 320; won: False; Q(s,a) = nan; reward = -502.0; and epsilon = 0.9573333333333334, win percentage = 0.0, 2022-04-26 07:21:08
Episode no = 330; won: False; Q(s,a) = 22.059941529608; reward = -462.0; and epsilon = 0.956, win percentage = 0.0, 2022-04-26 07:21:12
Episode no = 340; won: False; Q(s,a) = nan; reward = -466.0; and epsilon = 0.9546666666666667, win percentage = 0.0, 2022-04-26 07:21:16
Episode no = 350; won: False; Q(s,a) = nan; reward = -479.0; and epsilon = 0.9533333333333334, win percentage = 0.0, 2022-04-26 07:21:20
Episode no = 360; won: False; Q(s,a) = 1.9612884753151842; reward = -413.0; and epsilon = 0.952, win percentage = 0.0, 2022-04-26 07:21:23
Episode no = 370; won: False; Q(s,a) = 25.596497292245576; reward = -334.0; and epsilon = 0.9506666666666667, win percentage = 0.0, 2022-04-26 07:21:25
Episode no = 380; won: False; Q(s,a) = 14.152136767924835; reward = -399.0; and epsilon = 0.9493333333333334, win percentage = 0.0, 2022-04-26 07:21:31
Episode no = 390; won: False; Q(s,a) = nan; reward = -439.0; and epsilon = 0.948, win percentage = 0.0, 2022-04-26 07:21:34
